x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB
3.90625000e-03,7.14843750e-01,2.36584833e-01,6.82583381e-01,-2.51536044e-02,0.00000000e+00,2.06238934e-01,1.23281979e-01,1.07541994e-01,0.00000000e+00,3.08586261e-04,1.33282521e-02
3.90625000e-03,7.22656250e-01,2.33343454e-01,6.79688149e-01,-1.94394030e-02,0.00000000e+00,2.02317947e-01,1.21422808e-01,1.08394963e-01,0.00000000e+00,1.63233027e-04,1.57444685e-02
3.90625000e-03,7.30468750e-01,2.30313944e-01,6.72847436e-01,-1.27479873e-02,0.00000000e+00,1.98398740e-01,1.20332976e-01,1.10726828e-01,0.00000000e+00,3.83914818e-05,1.70409375e-02
3.90625000e-03,7.38281250e-01,2.27635443e-01,6.62788946e-01,-5.51120289e-03,0.00000000e+00,1.94652313e-01,1.19896796e-01,1.14067910e-01,0.00000000e+00,-8.39886062e-05,1.74824692e-02
3.90625000e-03,7.46093750e-01,2.25350507e-01,6.50401149e-01,1.72850214e-03,0.00000000e+00,1.91168660e-01,1.20120999e-01,1.17901670e-01,0.00000000e+00,-2.25106918e-04,1.74115619e-02
3.90625000e-03,7.53906250e-01,2.23441186e-01,6.36629585e-01,8.34144255e-03,0.00000000e+00,1.87977735e-01,1.21047816e-01,1.21699874e-01,0.00000000e+00,-3.99904905e-04,1.72583747e-02
3.90625000e-03,7.61718750e-01,2.21879825e-01,6.22415327e-01,1.36996157e-02,0.00000000e+00,1.85083079e-01,1.22649353e-01,1.24959800e-01,0.00000000e+00,-6.08063254e-04,1.73612410e-02
3.90625000e-03,7.69531250e-01,2.20667732e-01,6.08676944e-01,1.73246500e-02,0.00000000e+00,1.82493829e-01,1.24754110e-01,1.27240924e-01,0.00000000e+00,-8.30501355e-04,1.78823210e-02
3.90625000e-03,7.77343750e-01,2.19843328e-01,5.96279285e-01,1.90381090e-02,0.00000000e+00,1.80239811e-01,1.27044966e-01,1.28195488e-01,0.00000000e+00,-1.03257224e-03,1.87585595e-02
3.90625000e-03,7.85156250e-01,2.19456556e-01,5.85929408e-01,1.90232281e-02,0.00000000e+00,1.78363304e-01,1.29135440e-01,1.27588775e-01,0.00000000e+00,-1.17364723e-03,1.96628920e-02
