i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
42,1,0.332031,0.0117188,1,1.31609e-13,0,0,2.29461e-11,1.79266e-13,1.69683e-11,1.32564e-13,2.16949e-11,1
43,1,0.339844,0.0117188,1,1.70066e-13,0,0,2.90979e-11,2.27327e-13,2.1542e-11,1.68297e-13,2.75028e-11,1
44,1,0.347656,0.0117188,1,2.17093e-13,0,0,3.64489e-11,2.84757e-13,2.69318e-11,2.10405e-13,3.44295e-11,1
45,1,0.355469,0.0117188,1,2.73762e-13,0,0,4.50993e-11,3.52338e-13,3.33248e-11,2.6035e-13,4.25614e-11,1
46,1,0.363281,0.0117188,1,3.41035e-13,0,0,5.50806e-11,4.30317e-13,4.0645e-11,3.17539e-13,5.19545e-11,1
47,1,0.371094,0.0117188,1,4.19685e-13,0,0,6.64613e-11,5.19229e-13,4.89455e-11,3.82387e-13,6.26248e-11,1
48,1,0.378906,0.0117188,1,5.10207e-13,0,0,7.91804e-11,6.18597e-13,5.82319e-11,4.54937e-13,7.45381e-11,1
49,1,0.386719,0.0117188,1,6.12729e-13,0,0,9.31521e-11,7.27751e-13,6.8314e-11,5.33703e-13,8.7601e-11,1
50,1,0.394531,0.0117188,1,7.26923e-13,0,0,1.08228e-10,8.4553e-13,7.91692e-11,6.1851e-13,1.01656e-10,1
51,1,0.402344,0.0117188,1,8.51936e-13,0,0,1.24146e-10,9.69891e-13,9.05118e-11,7.07123e-13,1.16476e-10,1
52,1,0.410156,0.0117188,1,9.86335e-13,0,0,1.4064e-10,1.09875e-12,1.02129e-10,7.97886e-13,1.31768e-10,1
53,1,0.417969,0.0117188,1,1.12808e-12,0,0,1.57321e-10,1.22907e-12,1.13768e-10,8.88816e-13,1.47179e-10,1
54,1,0.425781,0.0117188,1,1.27454e-12,0,0,1.73753e-10,1.35744e-12,1.25021e-10,9.76725e-13,1.62305e-10,1
55,1,0.433594,0.0117188,1,1.42255e-12,0,0,1.89496e-10,1.48044e-12,1.35584e-10,1.05925e-12,1.76708e-10,1
56,1,0.441406,0.0117188,1,1.56848e-12,0,0,2.04038e-10,1.59405e-12,1.45094e-10,1.13355e-12,1.89933e-10,1
57,1,0.449219,0.0117188,1,1.7084e-12,0,0,2.169e-10,1.69453e-12,1.5314e-10,1.19641e-12,2.01538e-10,1
58,1,0.457031,0.0117188,1,1.83822e-12,0,0,2.27662e-10,1.77861e-12,1.5947e-10,1.24586e-12,2.11108e-10,1
59,1,0.464844,0.0117188,1,1.95391e-12,0,0,2.3592e-10,1.84312e-12,1.63806e-10,1.27973e-12,2.18289e-10,1
60,1,0.472656,0.0117188,1,2.05169e-12,0,0,2.41341e-10,1.88548e-12,1.65944e-10,1.29644e-12,2.228e-10,1
61,1,0.480469,0.0117188,1,2.12822e-12,0,0,2.43727e-10,1.90412e-12,1.65743e-10,1.29487e-12,2.2446e-10,1
62,1,0.488281,0.0117188,1,2.18081e-12,0,0,2.42976e-10,1.89825e-12,1.63245e-10,1.27535e-12,2.23193e-10,1
63,1,0.496094,0.0117188,1,2.2076e-12,0,0,2.39099e-10,1.86796e-12,1.58462e-10,1.23799e-12,2.19035e-10,1
64,1,0.503906,0.0117188,1,2.2076e-12,0,0,2.3225e-10,1.81445e-12,1.51612e-10,1.18447e-12,2.12136e-10,1
65,1,0.511719,0.0117188,1,2.18081e-12,0,0,2.22655e-10,1.73949e-12,1.42923e-10,1.11659e-12,2.02748e-10,1
66,1,0.519531,0.0117188,1,2.12822e-12,0,0,2.10673e-10,1.64588e-12,1.32689e-10,1.03663e-12,1.91207e-10,1
67,1,0.527344,0.0117188,1,2.05169e-12,0,0,1.96719e-10,1.53687e-12,1.21322e-10,9.47831e-13,1.7792e-10,1
68,1,0.535156,0.0117188,1,1.95391e-12,0,0,1.81265e-10,1.41613e-12,1.09151e-10,8.52739e-13,1.63335e-10,1
69,1,0.542969,0.0117188,1,1.83822e-12,0,0,1.64821e-10,1.28767e-12,9.66293e-11,7.54917e-13,1.4792e-10,1
70,1,0.550781,0.0117188,1,1.7084e-12,0,0,1.47864e-10,1.15519e-12,8.41038e-11,6.57061e-13,1.32134e-10,1
