i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
119,0,0.933594,0.00390625,1.00053,0.000264003,0,0,-0.00600049,4.68541e-05,-0.00702279,5.48366e-05,-5.20254e-19,1.00053
120,0,0.941406,0.00390625,1.00055,0.000277141,0,0,-0.00683528,5.33711e-05,-0.00788654,6.15795e-05,-2.73682e-19,1.00055
121,0,0.949219,0.00390625,1.00058,0.000288784,0,0,-0.00767982,5.9964e-05,-0.00875653,6.83709e-05,-1.41992e-19,1.00058
122,0,0.957031,0.00390625,1.0006,0.000298699,0,0,-0.00851866,6.65123e-05,-0.0096172,7.50896e-05,-7.26655e-20,1.0006
123,0,0.964844,0.00390625,1.00061,0.000306683,0,0,-0.00933555,7.28892e-05,-0.0104522,8.1608e-05,-3.66844e-20,1.00061
124,0,0.972656,0.00390625,1.00063,0.00031257,0,0,-0.0101139,7.89656e-05,-0.011245,8.77965e-05,-1.82713e-20,1.00063
125,0,0.980469,0.00390625,1.00063,0.000316238,0,0,-0.0108375,8.46144e-05,-0.0119791,9.35273e-05,-8.97906e-21,1.00063
126,0,0.988281,0.00390625,1.00064,0.000317612,0,0,-0.0114908,8.9715e-05,-0.012639,9.86792e-05,-4.35411e-21,1.00064
127,0,0.996094,0.00390625,1.00063,0.000316667,0,0,-0.0120598,9.41577e-05,-0.0132105,0.000103142,-2.08356e-21,1.00063
0,1,0.00390625,0.0117188,1.00047,0.000235409,0,0,-0.00969203,7.56833e-05,-0.0106281,8.29933e-05,1.34163e-20,1.00047
1,1,0.0117188,0.0117188,1.00046,0.000231239,0,0,-0.0099592,7.77703e-05,-0.0108896,8.50355e-05,2.86429e-20,1.00046
2,1,0.0195312,0.0117188,1.00045,0.000225497,0,0,-0.0101391,7.91759e-05,-0.01106,8.6367e-05,6.04017e-20,1.00045
3,1,0.0273438,0.0117188,1.00044,0.00021831,0,0,-0.0102287,7.98768e-05,-0.0111363,8.69644e-05,1.25814e-19,1.00044
4,1,0.0351562,0.0117188,1.00042,0.000209827,0,0,-0.0102273,7.98673e-05,-0.0111179,8.68221e-05,2.58855e-19,1.00042
5,1,0.0429688,0.0117188,1.0004,0.000200224,0,0,-0.0101365,7.91594e-05,-0.0110063,8.59526e-05,5.26053e-19,1.0004
6,1,0.0507812,0.0117188,1.00038,0.000189688,0,0,-0.00995988,7.77821e-05,-0.0108055,8.43857e-05,1.05596e-18,1.00038
7,1,0.0585938,0.0117188,1.00036,0.000178419,0,0,-0.00970327,7.57798e-05,-0.0105212,8.21672e-05,2.09367e-18,1.00036
8,1,0.0664062,0.0117188,1.00033,0.00016662,0,0,-0.00937402,7.32101e-05,-0.010161,7.93564e-05,4.10027e-18,1.00033
9,1,0.0742188,0.0117188,1.00031,0.000154492,0,0,-0.00898092,7.01417e-05,-0.00973412,7.60243e-05,7.93152e-18,1.00031
10,1,0.0820312,0.0117188,1.00028,0.000142227,0,0,-0.00853382,6.66515e-05,-0.00925067,7.22503e-05,1.51544e-17,1.00028
11,1,0.0898438,0.0117188,1.00026,0.000130006,0,0,-0.00804323,6.28214e-05,-0.00872158,6.81196e-05,2.85997e-17,1.00026
12,1,0.0976562,0.0117188,1.00024,0.000117993,0,0,-0.00751997,5.87359e-05,-0.00815808,6.372e-05,5.33114e-17,1.00024
13,1,0.105469,0.0117188,1.00021,0.000106333,0,0,-0.00697481,5.44791e-05,-0.00757143,5.91392e-05,9.81553e-17,1.00021
14,1,0.113281,0.0117188,1.00019,9.5149e-05,0,0,-0.00641812,5.0132e-05,-0.00697248,5.44621e-05,1.78501e-16,1.00019
15,1,0.121094,0.0117188,1.00017,8.45419e-05,0,0,-0.00585964,4.57707e-05,-0.00637145,4.97685e-05,3.20627e-16,1.00017
16,1,0.128906,0.0117188,1.00015,7.45895e-05,0,0,-0.0053082,4.14641e-05,-0.00577766,4.51313e-05,5.68839e-16,1.00015
17,1,0.136719,0.0117188,1.00013,6.53474e-05,0,0,-0.00477156,3.72729e-05,-0.00519935,4.06146e-05,9.96798e-16,1.00013
18,1,0.144531,0.0117188,1.00011,5.685e-05,0,0,-0.00425632,3.32487e-05,-0.00464352,3.62733e-05,1.72525e-15,1.00011
19,1,0.152344,0.0117188,1.0001,4.91123e-05,0,0,-0.00376781,2.94331e-05,-0.0041159,3.21523e-05,2.94931e-15,1.0001
