i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
103,0,0.808594,0.00390625,1.00008,0.000105226,0,9.89609e-05,-0.0032861,2.56707e-05,-0.00333148,2.60252e-05,-1.81532e-15,1.00008
104,0,0.816406,0.00390625,1.00007,9.44212e-05,0,9.28242e-05,-0.00311429,2.43286e-05,-0.00315888,2.4677e-05,-1.25777e-15,1.00007
105,0,0.824219,0.00390625,1.00007,8.44728e-05,0,8.6749e-05,-0.00294125,2.29769e-05,-0.00298513,2.33197e-05,-8.49646e-16,1.00007
106,0,0.832031,0.00390625,1.00007,7.53425e-05,0,8.07694e-05,-0.00276799,2.16235e-05,-0.00281116,2.19608e-05,-5.61024e-16,1.00007
107,0,0.839844,0.00390625,1.00006,6.69911e-05,0,7.49164e-05,-0.00259545,2.02757e-05,-0.00263793,2.06075e-05,-3.62784e-16,1.00006
108,0,0.847656,0.00390625,1.00006,5.93787e-05,0,6.92179e-05,-0.00242455,1.89407e-05,-0.00246629,1.92668e-05,-2.30069e-16,1.00006
109,0,0.855469,0.00390625,1.00005,5.24646e-05,0,6.36981e-05,-0.00225611,1.76249e-05,-0.00229707,1.79449e-05,-1.43247e-16,1.00005
110,0,0.863281,0.00390625,1.00005,4.62084e-05,0,5.83778e-05,-0.00209089,1.63342e-05,-0.00213101,1.66476e-05,-8.7641e-17,1.00005
111,0,0.871094,0.00390625,1.00005,4.05694e-05,0,5.32737e-05,-0.00192956,1.50739e-05,-0.00196877,1.53803e-05,-5.27264e-17,1.00005
112,0,0.878906,0.00390625,1.00004,3.55078e-05,0,4.83989e-05,-0.00177269,1.38486e-05,-0.00181095,1.41474e-05,-3.12099e-17,1.00004
113,0,0.886719,0.00390625,1.00004,3.09845e-05,0,4.37626e-05,-0.00162078,1.26618e-05,-0.00165801,1.29527e-05,-1.81847e-17,1.00004
114,0,0.894531,0.00390625,1.00004,2.69617e-05,0,3.93701e-05,-0.00147419,1.15167e-05,-0.00151036,1.17992e-05,-1.04336e-17,1.00004
