step,time,L1,L2,Linf
375,0.375,0.0536432,0.0605279,0.0882832
376,0.376,0.0535684,0.0604116,0.0880775
377,0.377,0.0534936,0.0602958,0.0878724
378,0.378,0.0534187,0.0601804,0.0876679
379,0.379,0.0533437,0.0600656,0.0874662
380,0.38,0.0532687,0.0599512,0.0872652
381,0.381,0.0531935,0.0598372,0.0870648
382,0.382,0.0531183,0.0597238,0.0868649
383,0.383,0.053043,0.0596107,0.0866656
384,0.384,0.0529677,0.0594981,0.0864669
385,0.385,0.0528922,0.059386,0.0862688
386,0.386,0.0528166,0.0592743,0.0860713
387,0.387,0.0527409,0.0591629,0.0858744
388,0.388,0.0526651,0.0590521,0.085678
389,0.389,0.0525892,0.0589416,0.0854823
390,0.39,0.0525132,0.0588315,0.0852872
391,0.391,0.0524371,0.0587218,0.0850948
392,0.392,0.0523608,0.0586125,0.0849031
393,0.393,0.0522844,0.0585036,0.0847119
394,0.394,0.0522079,0.0583951,0.0845213
395,0.395,0.0521312,0.0582869,0.0843313
396,0.396,0.0520544,0.0581791,0.0841419
397,0.397,0.0519775,0.0580717,0.0839532
398,0.398,0.0519004,0.0579646,0.083765
399,0.399,0.0518232,0.0578579,0.0835774
400,0.4,0.0517458,0.0577515,0.0833905
401,0.401,0.0516683,0.0576455,0.0832042
402,0.402,0.0515907,0.0575398,0.0830185
403,0.403,0.0515129,0.0574344,0.082834
404,0.404,0.0514349,0.0573294,0.0826514
405,0.405,0.0513568,0.0572246,0.0824694
406,0.406,0.0512785,0.0571202,0.082288
407,0.407,0.0512001,0.0570161,0.0821072
408,0.408,0.0511215,0.0569123,0.081927
409,0.409,0.0510428,0.0568088,0.0817474
410,0.41,0.0509639,0.0567056,0.0815684
411,0.411,0.0508849,0.0566027,0.08139
412,0.412,0.0508057,0.0565,0.0812122
413,0.413,0.0507263,0.0563977,0.081035
414,0.414,0.0506468,0.0562956,0.0808584
415,0.415,0.0505672,0.0561938,0.0806824
416,0.416,0.0504874,0.0560923,0.0805073
417,0.417,0.0504074,0.055991,0.0803342
418,0.418,0.0503273,0.05589,0.0801617
419,0.419,0.050247,0.0557893,0.0799898
420,0.42,0.0501666,0.0556888,0.0798185
421,0.421,0.0500861,0.0555885,0.0796477
422,0.422,0.0500054,0.0554886,0.0794775
423,0.423,0.0499246,0.0553888,0.0793079
424,0.424,0.0498436,0.0552893,0.0791389
425,0.425,0.0497625,0.0551901,0.0789705
426,0.426,0.0496813,0.0550911,0.0788026
427,0.427,0.0495999,0.0549923,0.0786353
428,0.428,0.0495184,0.0548937,0.0784686
429,0.429,0.0494368,0.0547954,0.0783024
430,0.43,0.0493551,0.0546974,0.0781376
431,0.431,0.0492732,0.0545995,0.0779741
432,0.432,0.0491913,0.0545019,0.0778113
433,0.433,0.0491092,0.0544045,0.0776489
434,0.434,0.049027,0.0543073,0.0774871
435,0.435,0.0489448,0.0542103,0.0773259
436,0.436,0.0488624,0.0541136,0.0771652
437,0.437,0.04878,0.0540171,0.077005
438,0.438,0.0486974,0.0539208,0.0768454
439,0.439,0.0486148,0.0538247,0.0766864
440,0.44,0.0485321,0.0537288,0.0765279
441,0.441,0.0484493,0.0536331,0.0763699
442,0.442,0.0483665,0.0535376,0.0762124
443,0.443,0.0482836,0.0534424,0.0760555
444,0.444,0.0482006,0.0533474,0.0758998
445,0.445,0.0481176,0.0532525,0.0757454
446,0.446,0.0480346,0.0531579,0.0755915
447,0.447,0.0479515,0.0530635,0.0754381
448,0.448,0.0478683,0.0529693,0.0752853
449,0.449,0.0477852,0.0528752,0.0751329
450,0.45,0.047702,0.0527814,0.0749811
451,0.451,0.0476188,0.0526878,0.0748298
452,0.452,0.0475355,0.0525944,0.074679
453,0.453,0.0474523,0.0525012,0.0745287
454,0.454,0.047369,0.0524082,0.0743789
455,0.455,0.0472858,0.0523154,0.0742296
456,0.456,0.0472026,0.0522228,0.0740808
457,0.457,0.0471193,0.0521304,0.0739324
458,0.458,0.0470361,0.0520382,0.0737848
459,0.459,0.0469529,0.0519462,0.0736388
460,0.46,0.0468698,0.0518544,0.0734934
461,0.461,0.0467866,0.0517628,0.0733483
462,0.462,0.0467035,0.0516714,0.0732038
463,0.463,0.0466205,0.0515801,0.0730597
464,0.464,0.0465375,0.0514891,0.0729162
465,0.465,0.0464545,0.0513983,0.072773
466,0.466,0.0463716,0.0513076,0.0726304
467,0.467,0.0462888,0.0512172,0.0724882
468,0.468,0.046206,0.0511269,0.0723465
469,0.469,0.0461234,0.0510369,0.0722052
470,0.47,0.0460407,0.050947,0.0720644
471,0.471,0.0459582,0.0508573,0.0719241
472,0.472,0.0458758,0.0507679,0.0717842
473,0.473,0.0457934,0.0506786,0.0716456
474,0.474,0.0457112,0.0505895,0.0715079
475,0.475,0.045629,0.0505005,0.0713706
476,0.476,0.045547,0.0504118,0.0712338
477,0.477,0.045465,0.0503233,0.0710974
478,0.478,0.0453832,0.0502349,0.0709614
479,0.479,0.0453015,0.0501467,0.0708259
480,0.48,0.0452199,0.0500588,0.0706908
481,0.481,0.0451384,0.049971,0.0705561
482,0.482,0.045057,0.0498833,0.0704219
483,0.483,0.0449758,0.0497959,0.0702881
484,0.484,0.0448947,0.0497086,0.0701547
485,0.485,0.0448138,0.0496216,0.0700217
486,0.486,0.044733,0.0495347,0.0698892
487,0.487,0.0446523,0.049448,0.069757
488,0.488,0.0445718,0.0493614,0.0696265
489,0.489,0.0444914,0.0492751,0.0694964
490,0.49,0.0444112,0.0491889,0.0693667
491,0.491,0.0443312,0.0491029,0.0692374
492,0.492,0.0442513,0.0490171,0.0691085
493,0.493,0.0441715,0.0489314,0.06898
494,0.494,0.0440919,0.048846,0.0688519
495,0.495,0.0440125,0.0487607,0.0687242
496,0.496,0.0439332,0.0486755,0.0685969
497,0.497,0.0438541,0.0485906,0.06847
498,0.498,0.0437752,0.0485058,0.0683434
499,0.499,0.0436965,0.0484212,0.0682173
500,0.5,0.0436179,0.0483367,0.0680915
