step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
224,0.4375,0.00195312,0.0445208,0.166788,1.24251,0.000334734,0.00124203,0.00910152
225,0.439453,0.00195312,0.0445392,0.166936,1.24663,0.000334869,0.00124311,0.00912044
226,0.441406,0.00195312,0.0445713,0.167085,1.24759,0.0003351,0.00124419,0.00914862
227,0.443359,0.00195312,0.044598,0.167234,1.24554,0.000335293,0.00124526,0.00915417
228,0.445312,0.00195312,0.0446192,0.167384,1.25032,0.000335447,0.00124635,0.00914241
229,0.447266,0.00195312,0.0446517,0.167534,1.25189,0.000335681,0.00124743,0.0091752
230,0.449219,0.00195312,0.0446732,0.167684,1.25343,0.000335839,0.00124852,0.00918516
231,0.451172,0.00195312,0.044701,0.167835,1.25365,0.000336039,0.0012496,0.0091985
232,0.453125,0.00195312,0.0447306,0.167985,1.25627,0.000336254,0.0012507,0.00919867
233,0.455078,0.00195312,0.0447497,0.168136,1.26035,0.000336393,0.00125179,0.00921958
234,0.457031,0.00195312,0.0447829,0.168288,1.26119,0.000336632,0.00125288,0.00924738
235,0.458984,0.00195312,0.0448081,0.16844,1.25934,0.000336815,0.00125398,0.00925208
236,0.460938,0.00195312,0.0448316,0.168592,1.26408,0.000336985,0.00125508,0.00924185
237,0.462891,0.00195312,0.0448636,0.168744,1.26556,0.000337216,0.00125618,0.00927437
238,0.464844,0.00195312,0.0448836,0.168897,1.26734,0.000337363,0.00125729,0.00928358
239,0.466797,0.00195312,0.0449144,0.16905,1.26742,0.000337584,0.00125839,0.00929867
240,0.46875,0.00195312,0.0449431,0.169203,1.27031,0.000337792,0.0012595,0.00929788
241,0.470703,0.00195312,0.0449634,0.169356,1.27434,0.00033794,0.00126061,0.00932079
242,0.472656,0.00195312,0.044997,0.16951,1.27507,0.000338182,0.00126172,0.00934822
243,0.474609,0.00195312,0.0450208,0.169665,1.27343,0.000338355,0.00126284,0.00935206
244,0.476562,0.00195312,0.045047,0.169819,1.27814,0.000338544,0.00126396,0.00934336
245,0.478516,0.00195312,0.0450782,0.169974,1.27951,0.00033877,0.00126508,0.00937562
246,0.480469,0.00195312,0.0450976,0.170129,1.28154,0.000338912,0.0012662,0.00938407
247,0.482422,0.00195312,0.0451307,0.170285,1.28149,0.00033915,0.00126732,0.00940097
248,0.484375,0.00195312,0.0451581,0.170441,1.28466,0.000339349,0.00126845,0.0093992
249,0.486328,0.00195312,0.0451803,0.170597,1.28864,0.00033951,0.00126958,0.00942413
250,0.488281,0.00195312,0.0452138,0.170754,1.28925,0.000339751,0.00127071,0.00945119
251,0.490234,0.00195312,0.0452361,0.170911,1.28782,0.000339914,0.00127185,0.00945416
252,0.492188,0.00195312,0.0452651,0.171068,1.2925,0.000340122,0.00127298,0.00944699
253,0.494141,0.00195312,0.0452955,0.171225,1.29377,0.000340343,0.00127412,0.009479
254,0.496094,0.00195312,0.0453156,0.171383,1.29604,0.000340489,0.00127526,0.0094867
255,0.498047,0.00195312,0.0453497,0.171541,1.29586,0.000340734,0.00127641,0.00950547
256,0.5,0.00195312,0.0453758,0.1717,1.2993,0.000340924,0.00127755,0.00950272
