step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
94,0.0179252,0.000190694,0.0349067,0.108656,0.661708,0.00026509,0.000818615,0.00491217,0.0349498,0.108881,0.673494,0.000265405,0.000820232,0.00497673
95,0.0181159,0.000190694,0.0348655,0.1084,0.659486,0.000264791,0.000816734,0.00489566,0.0349084,0.108623,0.671068,0.000265105,0.00081834,0.00495884
96,0.0183066,0.000190694,0.0348245,0.108145,0.657275,0.000264493,0.000814861,0.00487924,0.0348671,0.108367,0.668655,0.000264805,0.000816457,0.00494104
97,0.0184973,0.000190694,0.0347836,0.107891,0.655076,0.000264196,0.000812997,0.00486291,0.034826,0.108112,0.666254,0.000264507,0.000814583,0.00492334
98,0.018688,0.000190694,0.0347429,0.107639,0.652887,0.0002639,0.000811142,0.00484665,0.0347851,0.107858,0.663866,0.000264209,0.000812718,0.00490572
99,0.0188787,0.000190694,0.0347023,0.107387,0.65071,0.000263605,0.000809295,0.00483048,0.0347442,0.107605,0.66149,0.000263913,0.000810861,0.0048882
100,0.0190694,0.000190694,0.0346618,0.107137,0.648543,0.000263311,0.000807457,0.00481438,0.0347036,0.107354,0.659126,0.000263617,0.000809013,0.00487077
101,0.0192601,0.000190694,0.0346215,0.106888,0.646386,0.000263018,0.000805627,0.00479837,0.0346631,0.107103,0.656775,0.000263323,0.000807173,0.00485343
102,0.0194508,0.000190694,0.0345813,0.10664,0.644241,0.000262726,0.000803806,0.00478244,0.0346227,0.106854,0.654435,0.000263029,0.000805342,0.00483618
103,0.0196415,0.000190694,0.0345412,0.106394,0.642105,0.000262435,0.000801993,0.00476658,0.0345824,0.106606,0.652108,0.000262737,0.000803519,0.00481951
104,0.0198322,0.000190694,0.0345013,0.106148,0.639981,0.000262144,0.000800188,0.00475081,0.0345423,0.106359,0.649793,0.000262445,0.000801704,0.00480336
105,0.0200229,0.000190694,0.0344616,0.105904,0.637867,0.000261855,0.000798391,0.00473511,0.0345024,0.106113,0.64749,0.000262154,0.000799897,0.00478729
106,0.0202136,0.000190694,0.0344219,0.105661,0.635763,0.000261567,0.000796602,0.00471949,0.0344625,0.105869,0.645199,0.000261865,0.000798099,0.0047713
107,0.0204043,0.000190694,0.0343824,0.105419,0.63367,0.00026128,0.000794822,0.00470395,0.0344229,0.105625,0.642919,0.000261576,0.000796309,0.00475538
108,0.020595,0.000190694,0.0343431,0.105177,0.631586,0.000260994,0.000793049,0.00468848,0.0343833,0.105383,0.640651,0.000261289,0.000794526,0.00473954
109,0.0207857,0.000190694,0.0343039,0.104938,0.629513,0.000260709,0.000791284,0.00467309,0.0343439,0.105142,0.638395,0.000261002,0.000792752,0.00472377
110,0.0209764,0.000190694,0.0342648,0.104699,0.627451,0.000260424,0.000789528,0.00465787,0.0343046,0.104901,0.636151,0.000260716,0.000790986,0.00470808
