step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
177,0.345703,0.00195312,0.0147259,0.0204879,0.0514767,0.000114336,0.00015882,0.000396023
178,0.347656,0.00195312,0.0146773,0.0203828,0.0511829,0.000113961,0.000158008,0.00039376
179,0.349609,0.00195312,0.0146287,0.0202786,0.0508922,0.000113585,0.000157203,0.000391521
180,0.351562,0.00195312,0.0145801,0.0201753,0.0506044,0.00011321,0.000156406,0.000389303
181,0.353516,0.00195312,0.0145315,0.020073,0.0503194,0.000112835,0.000155616,0.000387108
182,0.355469,0.00195312,0.0144829,0.0199716,0.0500372,0.00011246,0.000154832,0.000384934
183,0.357422,0.00195312,0.0144344,0.019871,0.0497576,0.000112084,0.000154056,0.00038278
184,0.359375,0.00195312,0.0143858,0.0197713,0.0494806,0.000111709,0.000153286,0.000380647
185,0.361328,0.00195312,0.0143372,0.0196725,0.0492062,0.000111334,0.000152522,0.000378532
186,0.363281,0.00195312,0.0142887,0.0195744,0.0489342,0.000110959,0.000151765,0.000376437
187,0.365234,0.00195312,0.0142401,0.0194772,0.0486645,0.000110584,0.000151013,0.00037436
188,0.367188,0.00195312,0.0141916,0.0193808,0.0483973,0.000110209,0.000150268,0.000372301
189,0.369141,0.00195312,0.0141431,0.0192851,0.0481323,0.000109834,0.000149529,0.00037026
190,0.371094,0.00195312,0.0140946,0.0191902,0.0478695,0.000109459,0.000148796,0.000368236
191,0.373047,0.00195312,0.0140461,0.0190961,0.047609,0.000109084,0.000148069,0.000366229
192,0.375,0.00195312,0.0139976,0.0190026,0.0473506,0.000108709,0.000147347,0.000364239
193,0.376953,0.00195312,0.0139491,0.01891,0.0470943,0.000108334,0.000146631,0.000362265
194,0.378906,0.00195312,0.0139007,0.018818,0.0468402,0.00010796,0.00014592,0.000360307
195,0.380859,0.00195312,0.0138523,0.0187267,0.0465881,0.000107586,0.000145214,0.000358374
196,0.382812,0.00195312,0.0138039,0.0186361,0.046338,0.000107211,0.000144514,0.000356483
197,0.384766,0.00195312,0.0137556,0.0185462,0.04609,0.000106837,0.000143819,0.000354608
198,0.386719,0.00195312,0.0137073,0.0184569,0.0458439,0.000106464,0.000143129,0.000352748
199,0.388672,0.00195312,0.013659,0.0183683,0.0455998,0.00010609,0.000142444,0.000350903
200,0.390625,0.00195312,0.0136108,0.0182803,0.0453576,0.000105717,0.000141765,0.000349072
201,0.392578,0.00195312,0.0135626,0.018193,0.0451174,0.000105344,0.000141089,0.000347256
202,0.394531,0.00195312,0.0135144,0.0181063,0.0448791,0.000104972,0.000140419,0.000345455
203,0.396484,0.00195312,0.0134663,0.0180202,0.0446426,0.0001046,0.000139754,0.000343668
204,0.398438,0.00195312,0.0134183,0.0179347,0.0444081,0.000104228,0.000139093,0.000341894
205,0.400391,0.00195312,0.0133703,0.0178498,0.0441776,0.000103857,0.000138436,0.000340135
206,0.402344,0.00195312,0.0133224,0.0177655,0.0439512,0.000103486,0.000137785,0.000338389
207,0.404297,0.00195312,0.0132746,0.0176818,0.0437266,0.000103115,0.000137137,0.000336657
208,0.40625,0.00195312,0.0132268,0.0175987,0.0435037,0.000102745,0.000136494,0.000334938
