step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
88,0.0859375,0.000976562,0.0273712,0.0685667,0.313832,0.000210026,0.000523965,0.00237553,0.0274092,0.0687847,0.328013,0.000210306,0.000525568,0.00247864
89,0.0869141,0.000976562,0.0272378,0.0679748,0.30995,0.00020904,0.000519565,0.00234592,0.0272763,0.0681925,0.323813,0.000209323,0.000521166,0.00244675
90,0.0878906,0.000976562,0.0271059,0.0673922,0.306081,0.000208064,0.000515232,0.00231642,0.0271447,0.0676097,0.319635,0.000208349,0.000516832,0.00241771
91,0.0888672,0.000976562,0.0269754,0.0668189,0.302226,0.000207098,0.000510966,0.0022883,0.0270146,0.0670361,0.315493,0.000207386,0.000512565,0.00238956
92,0.0898438,0.000976562,0.0268462,0.0662545,0.298386,0.000206141,0.000506765,0.00226082,0.0268859,0.0664716,0.31181,0.000206433,0.000508363,0.0023615
93,0.0908203,0.000976562,0.0267185,0.065699,0.294604,0.000205195,0.000502628,0.00223535,0.0267587,0.0659159,0.308139,0.00020549,0.000504226,0.00233353
94,0.0917969,0.000976562,0.0265922,0.0651522,0.291275,0.000204259,0.000498555,0.0022099,0.0266328,0.065369,0.304479,0.000204558,0.000500152,0.00230565
95,0.0927734,0.000976562,0.0264673,0.064614,0.287954,0.000203332,0.000494543,0.00218449,0.0265085,0.0648307,0.300832,0.000203636,0.00049614,0.00227789
96,0.09375,0.000976562,0.0263437,0.0640841,0.284638,0.000202416,0.000490592,0.00215914,0.0263856,0.0643008,0.297199,0.000202724,0.000492189,0.00225024
97,0.0947266,0.000976562,0.0262216,0.0635625,0.281329,0.00020151,0.000486701,0.00213384,0.0262641,0.0637791,0.293582,0.000201823,0.000488298,0.00222356
98,0.0957031,0.000976562,0.0261008,0.0630489,0.278027,0.000200613,0.000482868,0.00210963,0.026144,0.0632654,0.289981,0.000200931,0.000484465,0.00219844
99,0.0966797,0.000976562,0.0259815,0.0625432,0.274734,0.000199727,0.000479092,0.00208558,0.0260254,0.0627597,0.286506,0.000200051,0.00048069,0.00217412
100,0.0976562,0.000976562,0.0258635,0.0620452,0.271483,0.000198851,0.000475373,0.00206194,0.0259082,0.0622618,0.283327,0.00019918,0.000476971,0.00214985
101,0.0986328,0.000976562,0.0257469,0.0615548,0.268351,0.000197984,0.000471708,0.00204009,0.0257924,0.0617714,0.280156,0.000198319,0.000473307,0.00212564
102,0.0996094,0.000976562,0.0256316,0.0610718,0.26548,0.000197127,0.000468097,0.00201824,0.0256779,0.0612884,0.276993,0.000197468,0.000469697,0.00210151
103,0.100586,0.000976562,0.0255177,0.060596,0.262632,0.00019628,0.000464539,0.00199641,0.0255649,0.0608128,0.27384,0.000196627,0.00046614,0.00207861
104,0.101562,0.000976562,0.0254052,0.0601274,0.259786,0.000195443,0.000461033,0.00197461,0.0254532,0.0603442,0.270697,0.000195796,0.000462634,0.00205611
105,0.102539,0.000976562,0.025294,0.0596657,0.256943,0.000194615,0.000457577,0.00195308,0.0253429,0.0598826,0.267565,0.000194975,0.000459179,0.00203366
106,0.103516,0.000976562,0.0251842,0.0592108,0.254104,0.000193797,0.00045417,0.00193226,0.0252339,0.0594278,0.264635,0.000194164,0.000455774,0.00201127
107,0.104492,0.000976562,0.0250756,0.0587625,0.251271,0.000192988,0.000450812,0.00191146,0.0251263,0.0589797,0.261712,0.000193362,0.000452417,0.00198894
108,0.105469,0.000976562,0.0249684,0.0583208,0.248508,0.000192189,0.000447501,0.00189068,0.02502,0.0585381,0.258798,0.00019257,0.000449108,0.00196668
109,0.106445,0.000976562,0.0248625,0.0578854,0.245801,0.0001914,0.000444237,0.00187132,0.024915,0.0581029,0.255893,0.000191787,0.000445845,0.00194567
110,0.107422,0.000976562,0.0247579,0.0574562,0.243204,0.000190619,0.000441018,0.00185244,0.0248114,0.0576739,0.253129,0.000191015,0.000442628,0.00192591
111,0.108398,0.000976562,0.0246545,0.0570332,0.240745,0.000189848,0.000437843,0.00183355,0.0247091,0.0572511,0.250387,0.000190252,0.000439455,0.00190618
112,0.109375,0.000976562,0.0245524,0.0566161,0.238285,0.000189086,0.000434712,0.00181467,0.0246082,0.0568341,0.247778,0.000189498,0.000436325,0.00188647
113,0.110352,0.000976562,0.0244516,0.0562048,0.235826,0.000188334,0.000431623,0.0017958,0.0245086,0.0564231,0.245208,0.000188754,0.000433238,0.00186679
114,0.111328,0.000976562,0.0243521,0.0557992,0.233369,0.00018759,0.000428576,0.0017777,0.0244102,0.0560177,0.242642,0.00018802,0.000430193,0.00184716
