step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
116,0.113281,0.000976562,0.0244262,0.05566,0.234214,0.000188149,0.000427524,0.00178613,0.0244836,0.0558833,0.242396,0.000188574,0.000429174,0.00184745
117,0.114258,0.000976562,0.0243326,0.055273,0.231938,0.00018745,0.000424615,0.00176862,0.0243911,0.0554966,0.239986,0.000187882,0.000426267,0.00182896
118,0.115234,0.000976562,0.0242402,0.0548912,0.229657,0.00018676,0.000421743,0.00175112,0.0242997,0.055115,0.237574,0.0001872,0.000423397,0.00181045
119,0.116211,0.000976562,0.024149,0.0545143,0.227371,0.000186078,0.000418907,0.00173427,0.0242095,0.0547385,0.235162,0.000186525,0.000420564,0.00179195
120,0.117188,0.000976562,0.0240589,0.0541425,0.225082,0.000185404,0.000416108,0.00171738,0.0241205,0.0543669,0.23275,0.000185859,0.000417768,0.00177346
121,0.118164,0.000976562,0.0239698,0.0537754,0.222843,0.000184738,0.000413344,0.00170046,0.0240325,0.0540002,0.230339,0.000185201,0.000415007,0.00175499
122,0.119141,0.000976562,0.0238819,0.0534131,0.22064,0.000184079,0.000410615,0.00168351,0.0239456,0.0536383,0.227932,0.00018455,0.00041228,0.00173784
123,0.120117,0.000976562,0.023795,0.0530554,0.218434,0.000183429,0.000407919,0.00166752,0.0238598,0.0532809,0.225528,0.000183908,0.000409588,0.0017215
124,0.121094,0.000976562,0.0237093,0.0527023,0.21628,0.000182787,0.000405257,0.0016522,0.023775,0.0529281,0.223382,0.000183273,0.000406928,0.00170514
125,0.12207,0.000976562,0.0236245,0.0523536,0.214286,0.000182152,0.000402628,0.00163684,0.0236914,0.0525798,0.221251,0.000182647,0.000404302,0.00168876
126,0.123047,0.000976562,0.0235409,0.0520093,0.212287,0.000181525,0.00040003,0.00162144,0.0236088,0.0522359,0.219117,0.000182027,0.000401707,0.00167237
127,0.124023,0.000976562,0.0234582,0.0516692,0.210283,0.000180905,0.000397464,0.00160618,0.0235272,0.0518962,0.216982,0.000181416,0.000399144,0.00165598
128,0.125,0.000976562,0.0233766,0.0513334,0.208276,0.000180293,0.000394928,0.00159131,0.0234466,0.0515607,0.214847,0.000180811,0.000396611,0.00163959
129,0.125977,0.000976562,0.023296,0.0510016,0.206267,0.000179688,0.000392423,0.00157641,0.0233669,0.0512294,0.212713,0.000180213,0.000394109,0.00162321
130,0.126953,0.000976562,0.0232163,0.0506739,0.204311,0.00017909,0.000389947,0.00156148,0.0232882,0.0509021,0.210582,0.000179622,0.000391637,0.00160782
131,0.12793,0.000976562,0.0231376,0.0503502,0.20237,0.000178499,0.000387501,0.00154654,0.0232104,0.0505787,0.208453,0.000179038,0.000389193,0.00159242
132,0.128906,0.000976562,0.0230599,0.0500303,0.200428,0.000177916,0.000385083,0.00153159,0.0231336,0.0502593,0.206356,0.000178462,0.000386778,0.00157708
133,0.129883,0.000976562,0.0229832,0.0497143,0.198485,0.000177339,0.000382693,0.00151808,0.0230577,0.0499436,0.204412,0.000177891,0.000384392,0.00156255
134,0.130859,0.000976562,0.0229074,0.049402,0.196659,0.000176769,0.00038033,0.00150453,0.0229827,0.0496318,0.202521,0.000177328,0.000382032,0.00154801
135,0.131836,0.000976562,0.0228325,0.0490933,0.194898,0.000176206,0.000377995,0.00149095,0.0229086,0.0493236,0.20063,0.000176771,0.0003797,0.00153346
136,0.132812,0.000976562,0.0227585,0.0487883,0.193134,0.00017565,0.000375686,0.00147738,0.0228354,0.049019,0.198738,0.000176221,0.000377395,0.00151891
137,0.133789,0.000976562,0.0226854,0.0484869,0.191367,0.0001751,0.000373403,0.00146423,0.0227631,0.0487179,0.196846,0.000175677,0.000375116,0.00150451
138,0.134766,0.000976562,0.0226132,0.0481889,0.189599,0.000174557,0.000371146,0.00145106,0.0226917,0.0484204,0.194957,0.000175139,0.000372862,0.00149079
139,0.135742,0.000976562,0.0225419,0.0478943,0.187858,0.00017402,0.000368914,0.00143788,0.0226211,0.0481263,0.19307,0.000174608,0.000370634,0.00147707
140,0.136719,0.000976562,0.0224714,0.0476032,0.186145,0.000173489,0.000366708,0.00142468,0.0225513,0.0478356,0.191225,0.000174083,0.00036843,0.00146335
141,0.137695,0.000976562,0.0224017,0.0473153,0.184432,0.000172964,0.000364525,0.00141147,0.0224824,0.0475482,0.189442,0.000173563,0.000366251,0.00144964
142,0.138672,0.000976562,0.0223329,0.0470307,0.182719,0.000172446,0.000362367,0.00139827,0.0224143,0.047264,0.187662,0.00017305,0.000364096,0.00143594
143,0.139648,0.000976562,0.0222649,0.0467493,0.181006,0.000171933,0.000360232,0.00138626,0.0223469,0.0469831,0.185884,0.000172542,0.000361965,0.00142246
144,0.140625,0.000976562,0.0221977,0.046471,0.179381,0.000171426,0.000358121,0.00137428,0.0222803,0.0467053,0.184164,0.000172041,0.000359857,0.00140955
145,0.141602,0.000976562,0.0221312,0.0461959,0.177826,0.000170925,0.000356032,0.00136228,0.0222145,0.0464306,0.182487,0.000171544,0.000357773,0.00139664
146,0.142578,0.000976562,0.0220656,0.0459238,0.176269,0.00017043,0.000353966,0.0013504,0.0221494,0.046159,0.180811,0.000171053,0.00035571,0.00138433
147,0.143555,0.000976562,0.0220007,0.0456547,0.174711,0.00016994,0.000351923,0.00133876,0.0220851,0.0458904,0.179138,0.000170568,0.000353671,0.0013721
148,0.144531,0.000976562,0.0219366,0.0453886,0.173153,0.000169456,0.000349901,0.0013271,0.0220214,0.0456248,0.177473,0.000170087,0.000351653,0.00135988
149,0.145508,0.000976562,0.0218732,0.0451254,0.171628,0.000168977,0.000347901,0.00131543,0.0219585,0.0453621,0.175887,0.000169612,0.000349656,0.00134766
150,0.146484,0.000976562,0.0218105,0.0448651,0.170116,0.000168504,0.000345922,0.00130376,0.0218963,0.0451022,0.174303,0.000169142,0.000347681,0.00133546
