x,rho,u,v,w,p,Bx,By,Bz
-2.4125000000e-01,9.9686504567e-01,-2.7117561075e-02,-6.1021122197e-02,0.0000000000e+00,9.9099216218e-01,7.4451328445e-01,1.0020420441e+00,0.0000000000e+00
-2.3875000000e-01,9.9612743780e-01,-2.6956402108e-02,-6.0836375254e-02,0.0000000000e+00,9.8954956381e-01,7.4295493840e-01,1.0021714602e+00,0.0000000000e+00
-2.3625000000e-01,9.9537791896e-01,-2.6736696351e-02,-6.0599547259e-02,0.0000000000e+00,9.8808966458e-01,7.4140354499e-01,1.0022733242e+00,0.0000000000e+00
-2.3375000000e-01,9.9461113601e-01,-2.6447637804e-02,-6.0313842561e-02,0.0000000000e+00,9.8660177639e-01,7.3986063523e-01,1.0023402250e+00,0.0000000000e+00
-2.3125000000e-01,9.9382014709e-01,-2.6075593380e-02,-5.9983323746e-02,0.0000000000e+00,9.8507208258e-01,7.3832773181e-01,1.0023628495e+00,0.0000000000e+00
-2.2875000000e-01,9.9299620496e-01,-2.5603706118e-02,-5.9613021561e-02,0.0000000000e+00,9.8348322674e-01,7.3680634750e-01,1.0023297172e+00,0.0000000000e+00
-2.2625000000e-01,9.9212857995e-01,-2.5011567859e-02,-5.9209026286e-02,0.0000000000e+00,9.8181398534e-01,7.3529798374e-01,1.0022269623e+00,0.0000000000e+00
-2.2375000000e-01,9.9120444875e-01,-2.4275008616e-02,-5.8778548133e-02,0.0000000000e+00,9.8003907727e-01,7.3380412909e-01,1.0020381953e+00,0.0000000000e+00
-2.2125000000e-01,9.9020887596e-01,-2.3366050782e-02,-5.8329934216e-02,0.0000000000e+00,9.7812916440e-01,7.3232625781e-01,1.0017444765e+00,0.0000000000e+00
-2.1875000000e-01,9.8912491186e-01,-2.2253070737e-02,-5.7872631216e-02,0.0000000000e+00,9.7605109028e-01,7.3086582838e-01,1.0013244308e+00,0.0000000000e+00
-2.1625000000e-01,9.8793382307e-01,-2.0901197677e-02,-5.7417086377e-02,0.0000000000e+00,9.7376838983e-01,7.2942428207e-01,1.0007545226e+00,0.0000000000e+00
-2.1375000000e-01,9.8661546159e-01,-1.9272959898e-02,-5.6974584622e-02,0.0000000000e+00,9.7124207981e-01,7.2800304151e-01,1.0000095001e+00,0.0000000000e+00
-2.1125000000e-01,9.8514876407e-01,-1.7329164247e-02,-5.6557025932e-02,0.0000000000e+00,9.6843171155e-01,7.2660350929e-01,9.9906299614e-01,0.0000000000e+00
-2.0875000000e-01,9.8351235856e-01,-1.5029968192e-02,-5.6176653733e-02,0.0000000000e+00,9.6529663676e-01,7.2522706658e-01,9.9788826135e-01,0.0000000000e+00
-2.0625000000e-01,9.8168524222e-01,-1.2336080104e-02,-5.5845750873e-02,0.0000000000e+00,9.6179740954e-01,7.2387507176e-01,9.9645898306e-01,0.0000000000e+00
-2.0375000000e-01,9.7964748386e-01,-9.2100056357e-03,-5.5576323207e-02,0.0000000000e+00,9.5789722670e-01,7.2254885910e-01,9.9475013702e-01,0.0000000000e+00
-2.0125000000e-01,9.7738089801e-01,-5.6172472045e-03,-5.5379786932e-02,0.0000000000e+00,9.5356329539e-01,7.2124973740e-01,9.9273881394e-01,0.0000000000e+00
-1.9875000000e-01,9.7486954506e-01,-1.5274079713e-03,-5.5266653770e-02,0.0000000000e+00,9.4876788487e-01,7.1997898873e-01,9.9040500690e-01,0.0000000000e+00
-1.9625000000e-01,9.7210027288e-01,3.0846947587e-03,-5.5246331942e-02,0.0000000000e+00,9.4348948128e-01,7.1873786718e-01,9.8773235015e-01,0.0000000000e+00
