x,rho,u,v,w,p,Bx,By,Bz
-2.0125000000e-01,9.9042255325e-01,3.7278973850e-02,-1.6044614015e-02,0.0000000000e+00,9.4518112003e-01,7.6977568659e-01,9.9775075790e-01,0.0000000000e+00
-1.9875000000e-01,9.8841770791e-01,4.0265854133e-02,-1.6879476567e-02,0.0000000000e+00,9.3980668700e-01,7.7064976220e-01,9.9567264025e-01,0.0000000000e+00
-1.9625000000e-01,9.8612987466e-01,4.3743456651e-02,-1.7867101770e-02,0.0000000000e+00,9.3395536757e-01,7.7150345931e-01,9.9322567454e-01,0.0000000000e+00
-1.9375000000e-01,9.8354671683e-01,4.7736074657e-02,-1.9017061422e-02,0.0000000000e+00,9.2761129058e-01,7.7233593530e-01,9.9039295608e-01,0.0000000000e+00
-1.9125000000e-01,9.8065960270e-01,5.2261692568e-02,-2.0337180011e-02,0.0000000000e+00,9.2076610507e-01,7.7314636852e-01,9.8716222455e-01,0.0000000000e+00
-1.8875000000e-01,9.7746371379e-01,5.7331790613e-02,-2.1833431808e-02,0.0000000000e+00,9.1341903964e-01,7.7393395914e-01,9.8352603697e-01,0.0000000000e+00
-1.8625000000e-01,9.7395798090e-01,6.2951444594e-02,-2.3509923117e-02,0.0000000000e+00,9.0557661446e-01,7.7469792986e-01,9.7948172365e-01,0.0000000000e+00
-1.8375000000e-01,9.7014487096e-01,6.9119680124e-02,-2.5368950701e-02,0.0000000000e+00,8.9725206135e-01,7.7543752672e-01,9.7503115363e-01,0.0000000000e+00
-1.8125000000e-01,9.6603005687e-01,7.5830026185e-02,-2.7411122843e-02,0.0000000000e+00,8.8846452391e-01,7.7615201983e-01,9.7018034761e-01,0.0000000000e+00
-1.7875000000e-01,9.6162200632e-01,8.3071206533e-02,-2.9635527096e-02,0.0000000000e+00,8.7923811569e-01,7.7684070405e-01,9.6493898201e-01,0.0000000000e+00
-1.7625000000e-01,9.5693152597e-01,9.0827908511e-02,-3.2039928488e-02,0.0000000000e+00,8.6960091176e-01,7.7750289974e-01,9.5931982783e-01,0.0000000000e+00
