step,time,dt,limited_cells,theta_min,theta_mean,min_pressure_before_source,min_pressure_after_source,max_abs_divB
202,0.136176,0.000246058,9088,0,0.0425471,5.63142e-13,5.63142e-13,656.257
203,0.136421,0.000245094,9115,0,0.0432823,5.58368e-13,5.58368e-13,666.047
204,0.136665,0.000243669,9142,0,0.042883,5.53853e-13,5.53853e-13,676.727
205,0.136907,0.000241957,9159,0,0.0423042,5.4956e-13,5.4956e-13,687.972
206,0.137147,0.000240075,9194,0,0.0427202,5.45527e-13,5.45527e-13,699.396
207,0.137385,0.000238106,9212,0,0.0419264,5.41678e-13,5.41678e-13,711.075
208,0.137624,0.00023862,9233,0,0.0421303,5.36127e-13,5.36127e-13,722.811
209,0.137862,0.00023839,9257,0,0.0420749,5.30872e-13,5.30872e-13,734.906
210,0.1381,0.000237642,9284,0,0.042881,5.25839e-13,5.25839e-13,747.345
211,0.138336,0.000236539,9308,0,0.0423927,5.21028e-13,5.21028e-13,760.12
212,0.138572,0.0002352,9344,0,0.0426793,5.17142e-13,5.17142e-13,773.235
213,0.138805,0.000233698,9363,0,0.0419734,5.11739e-13,5.11739e-13,786.699
214,0.139037,0.000232098,9384,0,0.0420736,5.05559e-13,5.05559e-13,800.523
215,0.139268,0.000230448,9409,0,0.0427462,4.99822e-13,4.99822e-13,814.723
216,0.139497,0.000228781,9439,0,0.042786,4.94567e-13,4.94567e-13,829.311
217,0.139724,0.000227127,9456,0,0.0429326,4.89719e-13,4.89719e-13,844.291
218,0.139949,0.00022551,9472,0,0.0430975,4.85241e-13,4.85241e-13,859.65
219,0.140173,0.000223944,9485,0,0.0429255,4.81689e-13,4.81689e-13,875.389
220,0.140396,0.000222443,9515,0,0.0432432,4.79172e-13,4.79172e-13,916.941
221,0.140617,0.000221017,9517,0,0.0425274,4.77433e-13,4.77433e-13,931.205
222,0.140836,0.000219676,9541,0,0.043731,4.76434e-13,4.76434e-13,944.78
223,0.141055,0.00021843,9542,0,0.0424904,4.75805e-13,4.75805e-13,957.775
224,0.141272,0.000217282,9568,0,0.0426924,4.75546e-13,4.75546e-13,970.304
225,0.141488,0.000216243,9590,0,0.0422732,4.75694e-13,4.92606e-13,982.353
226,0.141704,0.000215305,9612,0,0.0424819,4.90756e-13,4.90756e-13,994.069
227,0.141918,0.000214471,9631,0,0.042831,4.89201e-13,4.89201e-13,1005.38
228,0.142132,0.000213738,9650,0,0.0431305,4.87943e-13,4.87943e-13,1016.74
229,0.142345,0.000213104,9667,0,0.0425892,4.87018e-13,4.87018e-13,1028.74
230,0.142558,0.00021257,9680,0,0.0423403,4.86352e-13,4.86352e-13,1041.48
231,0.14277,0.000212132,9698,0,0.0429709,4.85908e-13,4.85908e-13,1054.75
232,0.142981,0.000211785,9722,0,0.0434649,4.8576e-13,4.8576e-13,1068.34
233,0.143193,0.00021152,9730,0,0.0424435,4.85945e-13,4.85945e-13,1082.02
234,0.143404,0.00021123,9761,0,0.0433469,4.86463e-13,4.86463e-13,1095.62
235,0.143614,0.00020993,9775,0,0.0431958,4.87203e-13,4.87203e-13,1109.25
236,0.143823,0.000208697,9795,0,0.0430414,4.88165e-13,4.88165e-13,1121.43
237,0.14403,0.000207535,9816,0,0.0427421,4.89349e-13,4.89349e-13,1131.42
238,0.144237,0.000206445,9839,0,0.0428816,4.90682e-13,4.90682e-13,1135.66
239,0.144442,0.000205429,9850,0,0.0435075,4.92125e-13,4.92125e-13,1136.92
240,0.144647,0.000204486,9867,0,0.0431614,4.93716e-13,4.93716e-13,1134.94
241,0.14485,0.000203612,9885,0,0.0432377,4.95345e-13,4.95345e-13,1129.47
242,0.145053,0.000202572,9898,0,0.0421777,4.95826e-13,4.95826e-13,1146.87
243,0.145255,0.000202525,9914,0,0.0427279,4.96159e-13,4.96159e-13,1167.07
244,0.145458,0.000202924,9923,0,0.0424006,4.96233e-13,4.96233e-13,1183.28
245,0.145659,0.000201133,9925,0,0.0407837,4.95937e-13,4.95937e-13,1197.5
246,0.14586,0.000200702,9933,0,0.0414497,4.95493e-13,4.95493e-13,1212.01
247,0.146061,0.000200376,9942,0,0.0420424,4.94937e-13,4.94937e-13,1229.55
248,0.146261,0.000200047,9966,0,0.0418673,4.94271e-13,4.94271e-13,1249.65
249,0.14646,0.000199829,10005,0,0.043111,4.93605e-13,4.93605e-13,1267.92
250,0.14666,0.000199802,10014,0,0.0412663,4.92014e-13,4.92014e-13,1328.97
251,0.14686,0.000199716,10036,0,0.0422798,4.89164e-13,4.89164e-13,1387.78
252,0.147053,0.00019312,10060,0,0.0430566,4.86389e-13,4.86389e-13,1446.75
253,0.147241,0.000187843,10066,0,0.0422026,4.83872e-13,4.83872e-13,1500.38
254,0.147425,0.000183835,10099,0,0.0436252,4.81504e-13,4.81504e-13,1549.13
255,0.147606,0.000180888,10120,0,0.0430007,4.79246e-13,4.79246e-13,1593.54
256,0.147784,0.000178821,10150,0,0.043926,4.77211e-13,4.77211e-13,1634.79
257,0.147962,0.000177445,10151,0,0.0422094,4.7536e-13,4.7536e-13,1672.91
258,0.148135,0.000173596,10164,0,0.0426621,4.73695e-13,4.73695e-13,1709.12
259,0.148304,0.00016862,10169,0,0.0431762,4.72215e-13,4.72215e-13,1740.2
260,0.148469,0.000165334,10177,0,0.0430473,4.70994e-13,4.70994e-13,1760.56
261,0.148633,0.000164028,10184,0,0.0427869,4.69439e-13,4.69439e-13,1775.13
262,0.148796,0.00016243,10206,0,0.043106,4.68181e-13,4.68181e-13,1786.52
263,0.148957,0.00016062,10222,0,0.0432054,4.67256e-13,4.67256e-13,1792.48
264,0.149115,0.000158489,10229,0,0.0434086,4.6659e-13,4.6659e-13,1793.36
265,0.149272,0.000156746,10241,0,0.0431665,4.66072e-13,4.66072e-13,1788.97
266,0.149427,0.000154791,10254,0,0.0436456,4.65776e-13,4.65776e-13,1781.61
267,0.149579,0.000152752,10260,0,0.0428155,4.65591e-13,4.65591e-13,1768.38
268,0.149729,0.000149347,10263,0,0.0428903,4.65331e-13,4.65331e-13,1749.7
269,0.149874,0.000145341,10264,0,0.0430123,4.65146e-13,4.65146e-13,1724.87
270,0.150015,0.000140922,10274,0,0.0434792,4.65072e-13,4.65072e-13,1693.71
271,0.150152,0.000137037,10289,0,0.0432309,4.64221e-13,4.64221e-13,1677.86
272,0.150286,0.000133582,10298,0,0.0430173,4.61779e-13,4.61779e-13,1699.42
