step,time,dt,limited_cells,theta_min,theta_mean,min_pressure_before_source,min_pressure_after_source,max_abs_divB
213,0.0337274,3.97454e-05,883,0,0.0867579,3.96424e-13,3.96424e-13,4847.53
214,0.0337664,3.90463e-05,887,0,0.0838343,3.94499e-13,3.94499e-13,5000.07
215,0.0338051,3.86975e-05,887,0,0.0851481,3.93167e-13,3.93167e-13,5201.95
216,0.0338436,3.84984e-05,892,0,0.0885382,3.91391e-13,3.91391e-13,5361.72
217,0.0338813,3.76968e-05,892,0,0.0828129,3.89762e-13,3.89762e-13,5490.67
218,0.0339193,3.80087e-05,892,0,0.0805613,3.88282e-13,3.88282e-13,5635.5
219,0.0339568,3.74755e-05,894,0,0.0826444,3.86654e-13,3.86654e-13,5518.27
220,0.0339938,3.69362e-05,895,0,0.078603,3.84729e-13,3.84729e-13,5379.58
221,0.0340299,3.61382e-05,897,0,0.0792721,3.82953e-13,3.82953e-13,5453.74
222,0.0340653,3.53552e-05,898,0,0.0812539,3.81473e-13,3.81473e-13,5591.8
223,0.0340998,3.45795e-05,895,0,0.0820004,3.79992e-13,3.79992e-13,5848.46
224,0.0341337,3.38868e-05,896,0,0.0798412,3.78364e-13,3.78364e-13,6047.81
225,0.034167,3.32568e-05,907,0,0.0893043,3.76884e-13,3.76884e-13,6191.54
226,0.0341997,3.27199e-05,911,0,0.0834634,3.75551e-13,3.75551e-13,6279.33
227,0.034232,3.23241e-05,919,0,0.0845929,3.74219e-13,3.74219e-13,6299.48
228,0.0342642,3.21436e-05,923,0,0.0852698,3.72739e-13,3.72739e-13,6220.76
229,0.0342961,3.19237e-05,927,0,0.085522,3.71555e-13,3.71555e-13,6145.89
230,0.0343278,3.17446e-05,923,0,0.0781675,3.70518e-13,3.70518e-13,6352.67
231,0.0343594,3.15915e-05,929,0,0.0867354,3.69334e-13,3.69334e-13,6408.35
232,0.034391,3.1554e-05,929,0,0.0835154,3.6815e-13,3.6815e-13,6440.53
233,0.0344224,3.14085e-05,929,0,0.0835974,3.66818e-13,3.66818e-13,6451.76
234,0.0344536,3.12435e-05,930,0,0.0827186,3.65633e-13,3.65633e-13,6554.08
235,0.0344845,3.08944e-05,932,0,0.0805866,3.64597e-13,3.64597e-13,6707.38
236,0.0345151,3.05897e-05,934,0,0.0803896,3.63265e-13,3.63265e-13,6968.67
237,0.0345451,2.99866e-05,938,0,0.0804229,3.61933e-13,3.61933e-13,7179.65
238,0.0345746,2.94799e-05,942,0,0.081944,3.60748e-13,3.60748e-13,7338.77
239,0.0346036,2.90204e-05,940,0,0.0772827,3.59712e-13,3.59712e-13,7461.76
240,0.0346322,2.85832e-05,950,0,0.0826195,3.5838e-13,3.5838e-13,7532.53
241,0.0346603,2.81442e-05,950,0,0.0788343,3.57492e-13,3.57492e-13,7534.89
242,0.034688,2.7721e-05,953,0,0.0791428,3.56456e-13,3.56456e-13,7484.24
243,0.0347155,2.7495e-05,952,0,0.0804731,3.55419e-13,3.55419e-13,7339
244,0.0347424,2.6819e-05,962,0,0.0790629,3.54383e-13,3.54383e-13,7151.33
245,0.0347685,2.61656e-05,962,0,0.0794536,3.53569e-13,3.53569e-13,6922.23
246,0.0347941,2.55735e-05,969,0,0.0829088,3.52755e-13,3.52755e-13,6867.91
247,0.0348193,2.52275e-05,970,0,0.07843,3.51645e-13,3.51645e-13,6841.01
248,0.034844,2.46567e-05,974,0,0.0807353,3.50904e-13,3.50904e-13,6985.79
249,0.0348683,2.42832e-05,976,0,0.081537,3.49942e-13,3.49942e-13,7106.46
250,0.0348922,2.39242e-05,984,0,0.086461,3.49128e-13,3.49128e-13,7206.84
251,0.0349155,2.33385e-05,982,0,0.0819684,3.48462e-13,3.48462e-13,7287.85
252,0.0349386,2.31109e-05,986,0,0.0814783,3.47574e-13,3.47574e-13,7346.88
